2.74E-01+9.31E-06i, -6.73E+00-4.86E-06i, 3.00E-02-2.22E-06i, 
-3.13E-01+1.76E-05i, -2.72E+00-5.48E-05i, 1.11E+00+1.33E-05i, 
-3.11E-01+1.69E-05i, -2.77E+00-5.81E-05i, 1.19E+00+1.67E-05i, 
-3.04E-01+1.60E-05i, -2.81E+00-6.10E-05i, 1.26E+00+2.01E-05i, 
-2.90E-01+1.49E-05i, -2.85E+00-6.36E-05i, 1.33E+00+2.33E-05i, 
-2.71E-01+1.37E-05i, -2.89E+00-6.58E-05i, 1.39E+00+2.63E-05i, 
-2.47E-01+1.23E-05i, -2.93E+00-6.78E-05i, 1.44E+00+2.91E-05i, 
-2.17E-01+1.07E-05i, -2.96E+00-6.94E-05i, 1.48E+00+3.17E-05i, 
-1.84E-01+8.98E-06i, -2.99E+00-7.07E-05i, 1.52E+00+3.38E-05i, 
-1.47E-01+7.13E-06i, -3.01E+00-7.18E-05i, 1.55E+00+3.56E-05i, 
-1.07E-01+5.17E-06i, -3.03E+00-7.25E-05i, 1.58E+00+3.70E-05i, 
-6.51E-02+3.13E-06i, -3.04E+00-7.30E-05i, 1.59E+00+3.79E-05i, 
-2.18E-02+1.05E-06i, -3.05E+00-7.33E-05i, 1.60E+00+3.84E-05i, 
2.18E-02-1.05E-06i, -3.05E+00-7.33E-05i, 1.60E+00+3.84E-05i, 
6.51E-02-3.13E-06i, -3.04E+00-7.30E-05i, 1.59E+00+3.79E-05i, 
1.07E-01-5.17E-06i, -3.03E+00-7.25E-05i, 1.58E+00+3.70E-05i, 
1.47E-01-7.13E-06i, -3.01E+00-7.18E-05i, 1.55E+00+3.56E-05i, 
1.84E-01-8.98E-06i, -2.99E+00-7.07E-05i, 1.52E+00+3.38E-05i, 
2.17E-01-1.07E-05i, -2.96E+00-6.94E-05i, 1.48E+00+3.17E-05i, 
2.47E-01-1.23E-05i, -2.93E+00-6.78E-05i, 1.44E+00+2.91E-05i, 
2.71E-01-1.37E-05i, -2.89E+00-6.58E-05i, 1.39E+00+2.63E-05i, 
2.90E-01-1.49E-05i, -2.85E+00-6.36E-05i, 1.33E+00+2.33E-05i, 
3.04E-01-1.60E-05i, -2.81E+00-6.10E-05i, 1.26E+00+2.01E-05i, 
3.11E-01-1.69E-05i, -2.77E+00-5.81E-05i, 1.19E+00+1.67E-05i, 
3.13E-01-1.76E-05i, -2.72E+00-5.48E-05i, 1.11E+00+1.33E-05i, 
3.08E-01-1.82E-05i, -2.68E+00-5.12E-05i, 1.03E+00+9.96E-06i, 
2.98E-01-1.86E-05i, -2.64E+00-4.73E-05i, 9.41E-01+6.67E-06i, 
2.81E-01-1.89E-05i, -2.60E+00-4.30E-05i, 8.48E-01+3.53E-06i, 
2.60E-01-1.91E-05i, -2.56E+00-3.84E-05i, 7.51E-01+5.90E-07i, 
2.33E-01-1.93E-05i, -2.53E+00-3.35E-05i, 6.51E-01-2.08E-06i, 
2.01E-01-1.93E-05i, -2.50E+00-2.83E-05i, 5.47E-01-4.44E-06i, 
1.66E-01-1.93E-05i, -2.47E+00-2.30E-05i, 4.41E-01-6.43E-06i, 
1.27E-01-1.93E-05i, -2.45E+00-1.74E-05i, 3.33E-01-8.02E-06i, 
8.63E-02-1.93E-05i, -2.43E+00-1.17E-05i, 2.23E-01-9.18E-06i, 
4.36E-02-1.93E-05i, -2.43E+00-5.87E-06i, 1.12E-01-9.89E-06i, 
-1.50E-15-1.93E-05i, -2.42E+00-2.75E-12i, -5.98E-16-1.01E-05i, 
-4.36E-02-1.93E-05i, -2.43E+00+5.87E-06i, -1.12E-01-9.89E-06i, 
-8.63E-02-1.93E-05i, -2.43E+00+1.17E-05i, -2.23E-01-9.18E-06i, 
-1.27E-01-1.93E-05i, -2.45E+00+1.74E-05i, -3.33E-01-8.02E-06i, 
-1.66E-01-1.93E-05i, -2.47E+00+2.30E-05i, -4.41E-01-6.43E-06i, 
-2.01E-01-1.93E-05i, -2.50E+00+2.83E-05i, -5.47E-01-4.44E-06i, 
-2.33E-01-1.93E-05i, -2.53E+00+3.35E-05i, -6.51E-01-2.08E-06i, 
-2.60E-01-1.91E-05i, -2.56E+00+3.84E-05i, -7.51E-01+5.90E-07i, 
-2.81E-01-1.89E-05i, -2.60E+00+4.30E-05i, -8.48E-01+3.53E-06i, 
-2.98E-01-1.86E-05i, -2.64E+00+4.73E-05i, -9.41E-01+6.67E-06i, 
-3.08E-01-1.82E-05i, -2.68E+00+5.12E-05i, -1.03E+00+9.96E-06i, 
-3.13E-01-1.76E-05i, -2.72E+00+5.48E-05i, -1.11E+00+1.33E-05i, 
-3.11E-01-1.69E-05i, -2.77E+00+5.81E-05i, -1.19E+00+1.67E-05i, 
-3.04E-01-1.60E-05i, -2.81E+00+6.10E-05i, -1.26E+00+2.01E-05i, 
-2.90E-01-1.49E-05i, -2.85E+00+6.36E-05i, -1.33E+00+2.33E-05i, 
-2.71E-01-1.37E-05i, -2.89E+00+6.58E-05i, -1.39E+00+2.63E-05i, 
-2.47E-01-1.23E-05i, -2.93E+00+6.78E-05i, -1.44E+00+2.91E-05i, 
-2.17E-01-1.07E-05i, -2.96E+00+6.94E-05i, -1.48E+00+3.17E-05i, 
-1.84E-01-8.98E-06i, -2.99E+00+7.07E-05i, -1.52E+00+3.38E-05i, 
-1.47E-01-7.13E-06i, -3.01E+00+7.18E-05i, -1.55E+00+3.56E-05i, 
-1.07E-01-5.17E-06i, -3.03E+00+7.25E-05i, -1.58E+00+3.70E-05i, 
-6.51E-02-3.13E-06i, -3.04E+00+7.30E-05i, -1.59E+00+3.79E-05i, 
-2.18E-02-1.05E-06i, -3.05E+00+7.33E-05i, -1.60E+00+3.84E-05i, 
2.18E-02+1.05E-06i, -3.05E+00+7.33E-05i, -1.60E+00+3.84E-05i, 
6.51E-02+3.13E-06i, -3.04E+00+7.30E-05i, -1.59E+00+3.79E-05i, 
1.07E-01+5.17E-06i, -3.03E+00+7.25E-05i, -1.58E+00+3.70E-05i, 
1.47E-01+7.13E-06i, -3.01E+00+7.18E-05i, -1.55E+00+3.56E-05i, 
1.84E-01+8.98E-06i, -2.99E+00+7.07E-05i, -1.52E+00+3.38E-05i, 
2.17E-01+1.07E-05i, -2.96E+00+6.94E-05i, -1.48E+00+3.17E-05i, 
2.47E-01+1.23E-05i, -2.93E+00+6.78E-05i, -1.44E+00+2.91E-05i, 
2.71E-01+1.37E-05i, -2.89E+00+6.58E-05i, -1.39E+00+2.63E-05i, 
2.90E-01+1.49E-05i, -2.85E+00+6.36E-05i, -1.33E+00+2.33E-05i, 
3.04E-01+1.60E-05i, -2.81E+00+6.10E-05i, -1.26E+00+2.01E-05i, 
3.11E-01+1.69E-05i, -2.77E+00+5.81E-05i, -1.19E+00+1.67E-05i, 
3.13E-01+1.76E-05i, -2.72E+00+5.48E-05i, -1.11E+00+1.33E-05i, 
3.08E-01+1.82E-05i, -2.68E+00+5.12E-05i, -1.03E+00+9.96E-06i, 
2.98E-01+1.86E-05i, -2.64E+00+4.73E-05i, -9.41E-01+6.67E-06i, 
2.81E-01+1.89E-05i, -2.60E+00+4.30E-05i, -8.48E-01+3.53E-06i, 
2.60E-01+1.91E-05i, -2.56E+00+3.84E-05i, -7.51E-01+5.90E-07i, 
2.33E-01+1.93E-05i, -2.53E+00+3.35E-05i, -6.51E-01-2.08E-06i, 
2.01E-01+1.93E-05i, -2.50E+00+2.83E-05i, -5.47E-01-4.44E-06i, 
1.66E-01+1.93E-05i, -2.47E+00+2.30E-05i, -4.41E-01-6.43E-06i, 
1.27E-01+1.93E-05i, -2.45E+00+1.74E-05i, -3.33E-01-8.02E-06i, 
8.63E-02+1.93E-05i, -2.43E+00+1.17E-05i, -2.23E-01-9.18E-06i, 
4.36E-02+1.93E-05i, -2.43E+00+5.87E-06i, -1.12E-01-9.89E-06i, 
-1.54E-15+1.93E-05i, -2.42E+00-2.75E-12i, 2.72E-16-1.01E-05i, 
-1.03E-01+2.06E-05i, -1.60E+00-7.74E-06i, 2.15E-01-1.76E-05i, 
-2.04E-01+2.02E-05i, -1.63E+00-1.55E-05i, 4.28E-01-1.53E-05i, 
-2.98E-01+1.95E-05i, -1.67E+00-2.31E-05i, 6.38E-01-1.14E-05i, 
-3.83E-01+1.86E-05i, -1.73E+00-3.07E-05i, 8.43E-01-6.16E-06i, 
-4.56E-01+1.74E-05i, -1.80E+00-3.82E-05i, 1.04E+00+2.91E-07i, 
-5.16E-01+1.61E-05i, -1.89E+00-4.55E-05i, 1.23E+00+7.77E-06i, 
-5.60E-01+1.47E-05i, -1.98E+00-5.26E-05i, 1.41E+00+1.60E-05i, 
-5.86E-01+1.32E-05i, -2.08E+00-5.94E-05i, 1.58E+00+2.49E-05i, 
-5.95E-01+1.16E-05i, -2.19E+00-6.58E-05i, 1.74E+00+3.40E-05i, 
-5.86E-01+1.01E-05i, -2.29E+00-7.19E-05i, 1.89E+00+4.30E-05i, 
-5.60E-01+8.59E-06i, -2.39E+00-7.75E-05i, 2.02E+00+5.19E-05i, 
-5.16E-01+7.15E-06i, -2.48E+00-8.25E-05i, 2.13E+00+6.01E-05i, 
-4.56E-01+5.78E-06i, -2.57E+00-8.69E-05i, 2.23E+00+6.76E-05i, 
-3.83E-01+4.50E-06i, -2.64E+00-9.06E-05i, 2.32E+00+7.41E-05i, 
-2.98E-01+3.29E-06i, -2.70E+00-9.36E-05i, 2.38E+00+7.93E-05i, 
-2.04E-01+2.15E-06i, -2.75E+00-9.57E-05i, 2.43E+00+8.32E-05i, 
-1.03E-01+1.06E-06i, -2.77E+00-9.70E-05i, 2.45E+00+8.55E-05i, 
1.24E-09+8.21E-14i, -2.78E+00-9.74E-05i, 2.46E+00+8.63E-05i, 
1.03E-01-1.06E-06i, -2.77E+00-9.70E-05i, 2.45E+00+8.55E-05i, 
2.04E-01-2.15E-06i, -2.75E+00-9.57E-05i, 2.43E+00+8.32E-05i, 
2.98E-01-3.29E-06i, -2.70E+00-9.36E-05i, 2.38E+00+7.93E-05i, 
3.83E-01-4.50E-06i, -2.64E+00-9.06E-05i, 2.32E+00+7.41E-05i, 
4.56E-01-5.78E-06i, -2.57E+00-8.69E-05i, 2.23E+00+6.76E-05i, 
5.16E-01-7.15E-06i, -2.48E+00-8.25E-05i, 2.13E+00+6.01E-05i, 
5.60E-01-8.59E-06i, -2.39E+00-7.75E-05i, 2.02E+00+5.19E-05i, 
5.86E-01-1.01E-05i, -2.29E+00-7.19E-05i, 1.89E+00+4.30E-05i, 
5.95E-01-1.16E-05i, -2.19E+00-6.58E-05i, 1.74E+00+3.40E-05i, 
